ID,Phone Number رقم الهاتف,Company الشركة,latitutde,longitude
76480140,(149)468-0932x85554,FloralWhite,أبو داوود and Sons,25.3555145,-30.429704
48626422,(988)568-9247x1094,LightSteelBlue,آل الشيخ-فصيل,82.489478,174.175674
97837275,001-028-436-6125,DarkMagenta,المهنا-آل العسكري,-4.960621,105.036522
77552211,001-805-550-8648x4501,NavajoWhite,مهنا-كانو,33.919030,-41.360497
22025418,+1-070-501-7831x183,RosyBrown,حنبولي Group,52.7289345,124.435392
72208847,001-417-325-7341x9758,LightGoldenRodYellow,آل بن لافي-العقيل,-78.9401525,-10.676387
08730756,(881)104-5529,SeaShell,"حجار, الراشد and آل معيض",4.340142,-130.564339
83979248,+1-157-384-6235x18445,HoneyDew,"المهنا, آل العسكري and العقيل",76.773341,72.836552
07062902,447-433-4581,DarkRed,"آل معيض, الشايع and حجار",80.760818,-147.476306
23400641,(323)505-6222,Fuchsia,آل صفوان Group,-86.168229,116.594337
13693565,(940)172-1974,Peru,"آل سلطان, أبو داوود and آل محمد بن علي بن جماز",-60.7762795,70.019990
36311101,+1-381-511-9295x7585,Aquamarine,الراشد Ltd,57.739332,-96.707889
48036375,(380)882-3068,DarkKhaki,آل محمد بن علي بن جماز-كانو,-82.566246,-80.905997
38661600,012.664.7122x49739,SeaShell,المغاولة-العجلان,-44.8001575,57.317806
57257556,614.959.5917,DarkMagenta,"آل جعفر, المهنا and فصيل",-87.970476,120.442166
24341998,769.804.9551x041,DarkOliveGreen,المغاولة-المشاولة,-24.078466,65.982862
52423680,+1-154-799-5303x2720,RosyBrown,آل عطفة PLC,82.6121095,-150.437047
52330742,7902073316,Bisque,آل عطفة-آل بن لافي,-70.4464335,-29.441352
70817331,(589)021-2733,Chocolate,آل علي-آل محمد بن علي بن جماز,-49.6703865,-114.822004
83924309,+1-975-046-6593,Cornsilk,"آل سعود, الجابر and أبو داوود",73.522473,-138.043006
21821653,588.873.1893x281,BurlyWood,آل سلطان PLC,-38.062358,-82.728585
53034595,(679)417-7219x20411,Yellow,الشايع-الحجار,-16.102498,139.044628
03512838,767-127-9140,Snow,آل سلطان LLC,-88.682665,35.562733
12196869,(301)821-9207,Beige,الخرافي Inc,-33.5451575,89.266540
93413817,599-201-6862,SeaGreen,"أبو داوود, حجار and آل بن لافي",-57.588860,-141.088286
85012486,382-280-1402x650,SlateBlue,الحكير Inc,78.9867775,-17.176731
42084693,026-295-0891,LightCoral,أبو داوود LLC,6.1633465,-117.967485
85525726,001-611-260-5108x2320,Silver,آل الشيخ-المهنا,-80.273473,-25.750667
60557995,(324)872-4979x23633,PaleGoldenRod,المهيدب Inc,77.9777745,-164.056613
